work_id,state,constituency,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,payment_count,unique_vendors,payments_per_vendor,anomaly_score
WS/MP459/2025-2026/149089,Tamil Nadu,CHENNAI SOUTH,12000000.0,12000000.0,10478968.0,0.8732473333333334,3.0,1.0,3.0,-0.18939406719802576
WS/MP391/2025-2026/146422,Tamil Nadu,CHENNAI CENTRAL,10000000.0,10000000.0,9749010.0,0.974901,2.0,1.0,2.0,-0.1683302233881765
WS/MP243/2025-2026/141110,West Bengal,BARASAT,9522744.0,9522744.0,9522744.0,1.0,2.0,1.0,2.0,-0.15979085376807822
WS/MP18277/2025-2026/149810,West Bengal,BARDHAMAN-DURGAPUR,10000000.0,10000000.0,5758516.0,0.5758516,1.0,1.0,1.0,-0.15655829356416162
WS/MP643/2024-2025/146592,Madhya Pradesh,KHANDWA,1500000.0,1500000.0,1104530.0,0.7363533333333333,31.0,14.0,2.2142857142857144,-0.15564811118510702
WS/MP484/2024-2025/150090,West Bengal,KOLKATA DAKSHIN,10000000.0,10000000.0,10000000.0,1.0,1.0,1.0,1.0,-0.1543757456331306
WS/MP18170/2024-2025/156350,Rajasthan,SIKAR,497728.0,,497728.0,,33.0,23.0,1.434782608695652,-0.15354843519546135
WS/MP18309/2024-2025/155212,Meghalaya,TURA,10000000.0,,10000000.0,,3.0,1.0,3.0,-0.150803599443884
WS/MP18309/2024-2025/155216,Meghalaya,TURA,10000000.0,,10000000.0,,3.0,1.0,3.0,-0.150803599443884
WS/MP18161/2024-2025/138091,Rajasthan,BHARATPUR(SC),600000.0,600000.0,68680.0,0.1144666666666666,22.0,19.0,1.1578947368421053,-0.14439925185478542
WS/MP18019/2026-2027/139500,Assam,Diphu (ST),5000000.0,5000000.0,4998740.0,0.999748,2.0,2.0,1.0,-0.14003275354752498
WS/MP18009/2024-2025/154261,Andhra Pradesh,HINDUPUR,7963254.0,,7963254.0,,3.0,1.0,3.0,-0.13933786780128188
WS/MP243/2025-2026/141109,West Bengal,BARASAT,6803986.0,6803986.0,6803986.0,1.0,1.0,1.0,1.0,-0.1375357081168067
WS/MP18161/2024-2025/138069,Rajasthan,BHARATPUR(SC),499545.0,499545.0,136478.0,0.2732046162007426,31.0,30.0,1.0333333333333334,-0.13662311762076296
WS/MP18152/2024-2025/141888,Punjab,FARIDKOT(SC),2000000.0,2000000.0,1437441.0,0.7187205,12.0,3.0,4.0,-0.13340572716128674
WS/MP18065/2026-2027/152353,Haryana,ROHTAK,2100000.0,,1697302.0,,10.0,2.0,5.0,-0.13258247874293128
WS/MP18161/2024-2025/140180,Rajasthan,BHARATPUR(SC),600000.0,600000.0,170520.0,0.2842,22.0,22.0,1.0,-0.13182183811050474
WS/MP18161/2024-2025/138073,Rajasthan,BHARATPUR(SC),500000.0,500000.0,76210.0,0.15242,21.0,11.0,1.9090909090909087,-0.1313523129955957
WS/MP745/2025-2026/141315,Tamil Nadu,TIRUPPUR,6000000.0,6000000.0,6000000.0,1.0,1.0,1.0,1.0,-0.12911808784450185
WS/MP823/2024-2025/137367,West Bengal,KRISHNANAGAR,8800000.0,8800000.0,2972015.0,0.3377289772727272,1.0,1.0,1.0,-0.1285103661087742
WS/MP18249/2025-2026/153603,West Bengal,BARRACKPUR,20000000.0,,15004801.0,,2.0,1.0,2.0,-0.1255090975273172
WS/MP18272/2024-2025/136068,West Bengal,JHARGRAM(ST),4947386.0,4947386.0,4947386.0,1.0,2.0,1.0,2.0,-0.12097863232341799
WS/MP745/2025-2026/144827,Tamil Nadu,TIRUPPUR,5295000.0,5295000.0,5260434.0,0.993471954674221,1.0,1.0,1.0,-0.12018768047966955
WS/MP643/2025-2026/146319,Madhya Pradesh,KHANDWA,700000.0,700000.0,604900.0,0.8641428571428571,18.0,5.0,3.6,-0.11905315183610632
WS/MP18161/2024-2025/138089,Rajasthan,BHARATPUR(SC),500000.0,500000.0,75415.0,0.15083,16.0,16.0,1.0,-0.11242370304707572
WS/MP18172/2025-2026/144452,Rajasthan,UDAIPUR(ST),500000.0,500000.0,489272.0,0.978544,20.0,11.0,1.818181818181818,-0.11229993507648306
WS/MP18172/2025-2026/156311,Rajasthan,UDAIPUR(ST),1000000.0,,986250.0,,12.0,10.0,1.2,-0.10679044691537709
WS/MP18249/2025-2026/153601,West Bengal,BARRACKPUR,20000000.0,,8601839.0,,1.0,1.0,1.0,-0.10545078480159364
WS/MP18162/2024-2025/147231,Rajasthan,BHILWARA,492788.0,492788.0,492788.0,1.0,21.0,20.0,1.05,-0.10344012950593517
WS/MP18277/2024-2025/149787,West Bengal,BARDHAMAN-DURGAPUR,4422048.0,4422048.0,4271709.0,0.9660024043158284,1.0,1.0,1.0,-0.1028910743822643
WS/MP719/2024-2025/140154,Rajasthan,AJMER,299612.0,299612.0,299349.0,0.999122198042802,17.0,16.0,1.0625,-0.10224773856481384
WS/MP720/2024-2025/145390,Rajasthan,CHITTORGARH,297628.0,297628.0,46628.0,0.1566653675057454,12.0,10.0,1.2,-0.10049585443674114
WS/MP18355/2025-2026/158359,Karnataka,BANGALORE NORTH,3000000.0,,2999973.0,,4.0,1.0,4.0,-0.09715452930656665
WS/MP18161/2024-2025/138104,Rajasthan,BHARATPUR(SC),600000.0,600000.0,67500.0,0.1125,12.0,12.0,1.0,-0.09647024552091132
WS/MP18248/2024-2025/150128,West Bengal,BARDHAMAN PURBA(SC),3000000.0,3000000.0,2444263.0,0.8147543333333334,3.0,1.0,3.0,-0.09595450775441305
WS/MP18161/2024-2025/138108,Rajasthan,BHARATPUR(SC),400000.0,400000.0,52128.0,0.13032,12.0,11.0,1.0909090909090908,-0.0952743328715373
WS/MP18161/2024-2025/138074,Rajasthan,BHARATPUR(SC),600000.0,600000.0,65700.0,0.1095,11.0,11.0,1.0,-0.09466528052604595
WS/MP743/2025-2026/142092,Tamil Nadu,KANCHEEPURAM(SC),3993140.0,3993140.0,3993140.0,1.0,2.0,1.0,2.0,-0.0936480285954574
WS/MP643/2025-2026/146594,Madhya Pradesh,KHANDWA,500000.0,500000.0,499990.0,0.99998,19.0,8.0,2.375,-0.09098281115427731
